iter	Passed	Remaining
0	8	8147
1	13	6832
2	20	6713
3	24	6215
4	29	5858
5	33	5592
6	38	5400
7	42	5276
8	46	5117
9	51	5106
10	56	5045
11	59	4935
12	65	4986
13	70	4952
14	73	4840
15	77	4757
16	81	4731
17	86	4709
18	90	4682
19	94	4613
20	99	4622
21	103	4608
22	107	4558
23	111	4540
24	115	4515
25	119	4471
26	122	4423
27	126	4376
28	131	4398
29	134	4357
30	138	4342
31	142	4304
32	146	4305
33	150	4281
34	154	4247
35	157	4223
36	162	4230
37	166	4218
38	171	4221
39	174	4192
40	179	4200
41	183	4183
42	188	4198
43	193	4206
44	197	4200
45	202	4200
46	206	4181
47	213	4230
48	217	4213
49	220	4189
50	224	4186
51	229	4181
52	232	4159
53	236	4135
54	240	4132
55	246	4160
56	250	4140
57	253	4120
58	259	4145
59	263	4127
60	266	4108
61	270	4085
62	276	4118
63	280	4101
64	283	4081
65	287	4071
66	291	4065
67	295	4046
68	298	4028
69	302	4013
70	307	4021
71	310	4004
72	314	3989
73	317	3974
74	322	3978
75	326	3964
76	329	3950
77	334	3959
78	338	3950
79	342	3941
80	346	3926
81	349	3913
82	354	3918
83	358	3911
84	362	3904
85	366	3890
86	371	3903
87	375	3890
88	379	3880
89	386	3907
90	392	3917
91	396	3908
92	400	3901
93	404	3899
94	408	3888
95	412	3883
96	418	3893
97	422	3888
98	427	3886
99	431	3880
100	436	3885
101	441	3883
102	445	3877
103	451	3890
104	455	3883
105	459	3876
106	464	3875
107	469	3874
108	473	3866
109	477	3864
110	485	3886
111	492	3903
112	499	3920
113	503	3914
114	506	3900
115	510	3891
116	515	3891
117	519	3880
118	522	3867
119	525	3855
120	531	3858
121	534	3845
122	537	3835
123	541	3822
124	546	3825
125	549	3814
126	553	3803
127	556	3794
128	562	3795
129	565	3786
130	569	3775
131	572	3765
132	577	3765
133	581	3756
134	584	3747
135	588	3737
136	592	3731
137	596	3727
138	600	3717
139	604	3711
140	609	3713
141	613	3704
142	616	3694
143	619	3683
144	623	3673
145	628	3676
146	632	3669
147	635	3659
148	640	3655
149	643	3648
150	647	3640
151	651	3632
152	654	3622
153	659	3620
154	662	3610
155	665	3603
156	669	3593
157	673	3591
158	677	3582
159	680	3575
160	684	3565
161	689	3564
162	692	3557
163	696	3549
164	699	3540
165	703	3532
166	707	3528
167	710	3520
168	714	3512
169	717	3503
170	722	3502
171	726	3495
172	730	3490
173	733	3483
174	738	3479
175	742	3474
176	745	3465
177	750	3463
178	755	3465
179	759	3458
180	762	3449
181	765	3441
182	772	3448
183	777	3447
184	780	3439
185	784	3435
186	789	3430
187	792	3422
188	795	3414
189	799	3406
190	803	3404
191	807	3396
192	810	3389
193	814	3382
194	818	3380
195	822	3374
196	825	3366
197	829	3359
198	834	3358
199	837	3351
200	841	3344
201	844	3336
202	848	3331
203	851	3324
204	855	3316
205	858	3308
206	861	3301
207	865	3296
208	869	3289
209	872	3281
210	875	3275
211	879	3267
212	883	3263
213	886	3256
214	890	3249
215	893	3242
216	897	3237
217	900	3231
218	904	3226
219	907	3219
220	911	3212
221	915	3208
222	918	3201
223	922	3194
224	925	3188
225	929	3182
226	933	3179
227	937	3174
228	940	3167
229	944	3161
230	948	3156
231	951	3150
232	954	3143
233	957	3135
234	962	3131
235	966	3128
236	969	3121
237	973	3115
238	977	3111
239	980	3105
240	984	3099
241	987	3092
242	991	3087
243	995	3085
244	999	3078
245	1002	3073
246	1005	3066
247	1009	3061
248	1012	3055
249	1016	3048
250	1019	3041
251	1022	3034
252	1026	3030
253	1029	3024
254	1033	3018
255	1036	3013
256	1040	3008
257	1043	3002
258	1047	2996
259	1050	2989
260	1053	2983
261	1057	2979
262	1061	2973
263	1064	2967
264	1067	2960
265	1070	2954
266	1074	2949
267	1077	2943
268	1080	2936
269	1083	2930
270	1087	2924
271	1091	2920
272	1094	2914
273	1097	2908
274	1100	2901
275	1103	2895
276	1108	2892
277	1111	2886
278	1114	2880
279	1117	2874
280	1121	2870
281	1124	2864
282	1128	2859
283	1131	2853
284	1135	2847
285	1138	2843
286	1142	2837
287	1145	2831
288	1148	2826
289	1152	2821
290	1155	2816
291	1160	2813
292	1166	2814
293	1171	2812
294	1174	2807
295	1178	2803
296	1181	2797
297	1185	2792
298	1188	2787
299	1192	2782
300	1196	2778
301	1200	2773
302	1205	2773
303	1210	2771
304	1214	2766
305	1218	2764
306	1222	2758
307	1225	2752
308	1228	2747
309	1231	2742
310	1235	2738
311	1239	2732
312	1242	2726
313	1245	2721
314	1249	2717
315	1253	2712
316	1256	2706
317	1259	2701
318	1262	2696
319	1267	2692
320	1270	2687
321	1273	2681
322	1277	2677
323	1281	2674
324	1285	2669
325	1288	2663
326	1292	2659
327	1295	2654
328	1300	2652
329	1303	2646
330	1306	2641
331	1310	2636
332	1314	2632
333	1317	2627
334	1321	2622
335	1324	2617
336	1327	2611
337	1331	2607
338	1334	2602
339	1338	2598
340	1342	2593
341	1346	2590
342	1350	2586
343	1353	2581
344	1357	2576
345	1361	2572
346	1365	2568
347	1368	2564
348	1372	2559
349	1375	2555
350	1379	2551
351	1383	2546
352	1386	2542
353	1390	2537
354	1395	2535
355	1399	2531
356	1402	2526
357	1406	2522
358	1411	2519
359	1415	2516
360	1419	2512
361	1423	2508
362	1428	2506
363	1432	2502
364	1435	2497
365	1439	2493
366	1443	2490
367	1447	2486
368	1451	2481
369	1454	2477
370	1459	2474
371	1463	2470
372	1466	2465
373	1470	2460
374	1475	2458
375	1478	2454
376	1482	2449
377	1485	2445
378	1490	2442
379	1494	2437
380	1498	2434
381	1502	2430
382	1506	2426
383	1510	2423
384	1514	2419
385	1518	2414
386	1523	2412
387	1527	2408
388	1532	2407
389	1538	2406
390	1542	2403
391	1546	2399
392	1551	2396
393	1558	2397
394	1562	2393
395	1565	2388
396	1569	2384
397	1573	2379
398	1576	2374
399	1580	2370
400	1583	2365
401	1587	2361
402	1590	2356
403	1593	2351
404	1597	2347
405	1601	2342
406	1605	2339
407	1609	2334
408	1612	2330
409	1615	2325
410	1620	2321
411	1623	2317
412	1627	2312
413	1630	2307
414	1634	2304
415	1638	2299
416	1641	2294
417	1644	2289
418	1647	2284
419	1651	2281
420	1655	2277
421	1659	2272
422	1662	2267
423	1666	2264
424	1670	2259
425	1673	2254
426	1676	2249
427	1679	2245
428	1684	2242
